Error norm,Size,Duration
1.0635971069508272,994,1.530119
0.13645004326801588,,
0.11796164355196848,,
0.14127303917949027,,
0.19240192316989571,,
0.28537391320288641,,
0.45195615262119149,,
0.75479864760512194,,
1.3155360703111769,,
2.3703361188832002,,
4.3789388970283438,,
8.2388378716613122,,
15.706496532760706,,
30.226649153266585,,
58.566656901879554,,
114.04025112117621,,
222.87122515964853,,
436.76399129275165,,
857.75002900507059,,
1687.3252033893109,,
3323.6736757104054,,
6554.1231661129696,,
12936.267721574139,,
25552.997266619703,,
50508.78268037126,,
99895.906862146963,,
197676.47823758374,,
391349.68576772307,,
775100.4204716672,,
1535738.9868597009,,
3043892.0360952513,,
6035057.136443086,,
11969150.409299139,,
23744653.539041761,,
47117339.909494013,,
93519210.223475665,,
185660498.61450362,,
368664162.11090577,,
732199991.42930806,,
1454491012.0076835,,
2889817663.4892774,,
5742537442.6520491,,
11413201013.306799,,
22687041370.537739,,
45103662926.60173,,
89682216777.889572,,
178344062639.29788,,
354704086364.15381,,
705547944800.23718,,
1403580796418.324,,
2792522866440.7803,,
5556515237608.9131,,
11057396167606.385,,
22006251214296.34,,
43800639197452.242,,
87187546977777.469,,
173566788624653.25,,
345553714858388.81,,
688018249876101.88,,
1369993663285585.8,,
2728162190363496,,
5433175319623596,,
10821017365799982,,
21553226735493688,,
42932419740234224,,
85523680762803744,,
1.7037837597646118e+17,,
3.3944452194470752e+17,,
6.7631431148523366e+17,,
1.3475752743340726e+18,,
2.6852297245586867e+18,,
5.3509774274612705e+18,,
1.0663686949786292e+19,,
2.1252186250409554e+19,,
4.2356609274145227e+19,,
8.4422755234001797e+19,,
1.6827440224256616e+20,,
3.3542563575739888e+20,,
6.6864190169341192e+20,,
1.3329368385427061e+21,,
2.6573191560054676e+21,,
5.2978001456454949e+21,,
1.0562450472264163e+22,,
2.1059625080408553e+22,,
4.1990689791490522e+22,,
8.3728133583033835e+22,,
1.6695731703814769e+23,,
3.3293141822446257e+23,,
6.6392500504772117e+23,,
1.3240300682894165e+24,,
2.640528845006593e+24,,
5.266206799141761e+24,,
